1	Virtuoso	COUNTED	   1335	      	Result=965 	200		
2	Virtuoso	COUNTED	    380	      	Result=300 	200		
3	Virtuoso	COUNTED	     56	      	Result=2 	200		
4	Virtuoso	COUNTED	     57	      	Result=3 	200		
5	Virtuoso	COUNTED	     86	      	Result=20 	200		
6	Virtuoso	COUNTED	     67	      	Result=67 	200		
7	Virtuoso	COUNTED	    353	      	Result=1806 	200		
8	Virtuoso	COUNTED	    106	      	Result=1 	200		
9	Virtuoso	COUNTED	      2	      	Result=6 	200		
10	Virtuoso	COUNTED	      1	      	Result=1 	200		
11	Virtuoso	COUNTED	     21	      	Result=0 	200		
12	Virtuoso	COUNTED	     65	      	Result=0 	200		
13	Virtuoso	COUNTED	      1	      	Result=1 	200		
14	Virtuoso	COUNTED	     92	      	Result=529 	200		
15	Virtuoso	COUNTED	     66	      	Result=0 	200		
16	Virtuoso	COUNTED	     70	      	Result=237 	200		
17	Virtuoso	COUNTED	     12	      	Result=1 	200		
18	Virtuoso	COUNTED	    340	      	Result=1642 	200		
19	Virtuoso	COUNTED	      2	      	Result=1 	200		
20	Virtuoso	COUNTED	     65	      	Result=1 	200		
21	Virtuoso	COUNTED	     80	      	Result=81 	200		
22	Virtuoso	COUNTED	    225	      	Result=1140 	200		
23	Virtuoso	COUNTED	    466	      	Result=490 	200		
24	Virtuoso	COUNTED	     20	      	Result=2 	200		
25	Virtuoso	COUNTED	      2	      	Result=0 	200		
26	Virtuoso	COUNTED	      1	      	Result=3 	200		
27	Virtuoso	COUNTED	      2	      	Result=1 	200		
28	Virtuoso	COUNTED	    122	      	Result=1 	200		
29	Virtuoso	COUNTED	      3	      	Result=0 	200		
30	Virtuoso	COUNTED	      1	      	Result=0 	200		
31	Virtuoso	COUNTED	      1	      	Result=1 	200		
32	Virtuoso	COUNTED	    403	      	Result=1546 	200		
33	Virtuoso	COUNTED	      2	      	Result=1 	200		
34	Virtuoso	COUNTED	    201	      	Result=8 	200		
35	Virtuoso	COUNTED	     80	      	Result=958 	200		
36	Virtuoso	COUNTED	     18	      	Result=15 	200		
37	Virtuoso	COUNTED	   5998	      	Result=1 	200		
38	Virtuoso	COUNTED	      3	      	Result=1 	200		
39	Virtuoso	COUNTED	    145	      	Result=1 	200		
