1	WDQS		    142	      	Count= 31 	200		
2	WDQS		   6109	      	Count= 7 	200		
3	WDQS		    509	      	Count= 0 	200		
4	WDQS		   1610	      	Count= 0 	200		
5	WDQS		    168	      	Result=Q19637076 	200		
6	WDQS		    443	      	Count= 611 	200		
7	WDQS		   2308	      	Count= 16 	200		
8	WDQS		     64	      	Count= 31 	200		
9	WDQS		    198	      	Count= 17 	200		
10	WDQS		    173	      	Count= 0 	200		
11	WDQS		    176	      	Result=Q5705 	200		
12	WDQS		   1158	      	Count= 0 	200		
13	WDQS		    741	      	Count= 60 	200		
14	WDQS		    232	      	Count= 10 	200		
15	WDQS		    143	      	Count= 0 	200		
16	WDQS		   3879	      	Count= 0 	200		
17	WDQS		    976	      	Count= 141 	200		
18	WDQS		    132	      	Count= 9 	200		
19	WDQS		   7120	      	Count= 101 	200		
20	WDQS		   2874	      	Result=Q994 	200		
21	WDQS		   1259	      	Result=Q1923858 	200		
22	WDQS		    441	      	Count= 4 	200		
23	WDQS		    296	      	Count= 9 	200		
24	WDQS		    107	      	Count= 0 	200		
25	WDQS		    142	      	Count= 12 	200		
26	WDQS		    604	      	Count= 0 	200		
27	WDQS		    511	      	Count= 8 	200		
28	WDQS		    181	      	Count= 0 	200		
29	WDQS		   1761	      	Count= 17 	200		
30	WDQS		    289	      	Count= 3 	200		
31	WDQS		    641	      	Result=Q44683 	200		
32	WDQS		    219	      	Count= 99 	200		
33	WDQS		     95	      	Count= 2 	200		
34	WDQS		    449	      	Result=Q22690049 	200		
35	WDQS		     57	      	Count= 0 	200		
36	WDQS		    150	      	Count= 312 	200		
37	WDQS		    275	      	Result=Q41222493 	200		
38	WDQS		    281	      	Count= 2 	200		
39	WDQS		   1217	      	Count= 21 	200		
40	WDQS		    272	      	Count= 3 	200		
41	WDQS		   1936	      	Result=Q39619 	200		
42	WDQS		    143	      	Count= 28 	200		
43	WDQS		   1195	      	Count= 9 	200		
44	WDQS		  10425	      	Count= 8 	200		
45	WDQS		    168	      	Count= 8 	200		
46	WDQS		    168	      	Count= 0 	200		
47	WDQS		   1206	      	Count= 277 	200		
48	WDQS		    672	      	Result=Q6477645 	200		
49	WDQS		    118	      	Result=Q29049457 	200		
50	WDQS		    236	      	Count= 200 	200		
