1	MilleniumDB		      9	      	None 	400	Operation `Unsupported IRI function` not supported yet.	location_nearby-locations-as-topics-in-works Q100
2	MilleniumDB		      3	      	None 	400	Operation `Unsupported IRI function` not supported yet.	location_nearby-locations-as-topics-in-works Q1000029
3	MilleniumDB		      3	      	None 	400	Operation `Unsupported IRI function` not supported yet.	location_nearby-locations-as-topics-in-works Q1000030
4	MilleniumDB		      3	      	None 	400	Operation `Unsupported IRI function` not supported yet.	location_nearby-locations-as-topics-in-works Q1000033
5	MilleniumDB		      2	      	None 	400	Operation `Unsupported IRI function` not supported yet.	location_nearby-locations-as-topics-in-works Q1000046
6	MilleniumDB		      2	      	None 	400	Operation `Unsupported IRI function` not supported yet.	location_nearby-organizations Q100
7	MilleniumDB		      2	      	None 	400	Operation `Unsupported IRI function` not supported yet.	location_nearby-organizations Q1000029
8	MilleniumDB		      2	      	None 	400	Operation `Unsupported IRI function` not supported yet.	location_nearby-organizations Q1000030
9	MilleniumDB		      2	      	None 	400	Operation `Unsupported IRI function` not supported yet.	location_nearby-organizations Q1000033
10	MilleniumDB		      2	      	None 	400	Operation `Unsupported IRI function` not supported yet.	location_nearby-organizations Q1000046
