# Index queries - these have no parameter, but we need a fake index-items.tsv with two blank lines
award-index_statistics	award-index_statistics	VALUES	index
chemical-index_statistics	chemical-index_statistics	VALUES	index
chemical-index-curation_missing-boiling-points	chemical-index-curation_missing-boiling-points	VALUES	index
chemical-index-curation_missing-chemical-structure	chemical-index-curation_missing-chemical-structure	VALUES	index
chemical-index-curation_missing-combustion-enthalpy	chemical-index-curation_missing-combustion-enthalpy	VALUES	index
chemical-index-curation_missing-density	chemical-index-curation_missing-density	VALUES	index
chemical-index-curation_missing-enthalpy-of-formation	chemical-index-curation_missing-enthalpy-of-formation	VALUES	index
chemical-index-curation_missing-flash-point	chemical-index-curation_missing-flash-point	VALUES	index
chemical-index-curation_missing-idlh	chemical-index-curation_missing-idlh	VALUES	index
chemical-index-curation_missing-mass	chemical-index-curation_missing-mass	VALUES	index
chemical-index-curation_missing-melting-points	chemical-index-curation_missing-melting-points	VALUES	index
chemical-index-curation_missing-molar-entropy	chemical-index-curation_missing-molar-entropy	VALUES	index
chemical-index-curation_missing-pKa	chemical-index-curation_missing-pKa	VALUES	index
chemical-index-curation_missing-solubility	chemical-index-curation_missing-solubility	VALUES	index
chemical-index-curation_missing-vapor-pressure	chemical-index-curation_missing-vapor-pressure	VALUES	index
cito-index_article-counts	cito-index_article-counts	VALUES	index
cito-index_articles-by-year	cito-index_articles-by-year	VALUES	index
cito-index_cited-journal-counts	cito-index_cited-journal-counts	VALUES	index
cito-index_journal-counts	cito-index_journal-counts	VALUES	index
cito-index_recent-articles	cito-index_recent-articles	VALUES	index
cito-index_statistics	cito-index_statistics	VALUES	index
clinical-trial-index_interventions	clinical-trial-index_interventions	VALUES	index
clinical-trial-index_medical-conditions	clinical-trial-index_medical-conditions	VALUES	index
clinical-trial-index_phases	clinical-trial-index_phases	VALUES	index
clinical-trial-index_recent-clinical-trials	clinical-trial-index_recent-clinical-trials	VALUES	index
clinical-trial-index_statistics	clinical-trial-index_statistics	VALUES	index
complex-index_statistics	complex-index_statistics	VALUES	index
event-series-index_acceptance-rate	event-series-index_acceptance-rate	VALUES	index
event-series-index_list	event-series-index_list	VALUES	index
index-statistics_statistics	index-statistics_statistics	VALUES	index
ontology-index_most-used-ontology	ontology-index_most-used-ontology	VALUES	index
podcast-index_languages	podcast-index_languages	VALUES	index
software-index_most-used-software	software-index_most-used-software	VALUES	index
wikiproject-index_most-used	wikiproject-index_most-used	VALUES	index
language-index_works-written-in-the-language	language-index_works-written-in-the-language	VALUES	index
lexeme-index_lexemes	lexeme-index_lexemes	VALUES	index
license-index_work-counts	license-index_work-counts	VALUES	index
pathway-index_statistics	pathway-index_statistics	VALUES	index
printer-index_map	printer-index_map	VALUES	index
printer-index_printed-works-per-publisher	printer-index_printed-works-per-publisher	VALUES	index
retraction-index_authors_with_many_retractions	retraction-index_authors_with_many_retractions	VALUES	index
retraction-index_most-cited-retracted-works	retraction-index_most-cited-retracted-works	VALUES	index
retraction-index_retractions-per-year	retraction-index_retractions-per-year	VALUES	index
retraction-index_statements-with-retracted-references	retraction-index_statements-with-retracted-references	VALUES	index
retraction-index_venues_with_many_retractions	retraction-index_venues_with_many_retractions	VALUES	index
use-index_most-used	use-index_most-used	VALUES	index
wikiproject-index_most-used	wikiproject-index_most-used	VALUES	index
work-index_recently-retracted-works	work-index_recently-retracted-works	VALUES	index

