# A set of instance queries, included because some are hard for Blazegraph.
human-subclass	All instances of human (Q5)
human-subclass-labels	All instances of human (Q5) with labels
human-subclass-labels	All instances of human (Q5) with labels, label service for WDQS	WDQS	human-subclass-labels-WDQS
protein-subclass	All instances of protein (Q8054)
protein-subclass	All instances of protein (Q8054), 2nd try
protein-subclass	All instances of protein (Q8054), 3rd try
protein-subclass	All instances of protein (Q8054), 4th try
protein-subclass-labels	All instances of protein (Q8054) with labels
protein-subclass-labels	All instances of protein (Q8054) with labels, label service for WDQS	WDQS	protein-subclass-labels-WDQS
chemical-subclass	All instances of chemical entity (Q43460564)
concrete-subclass	All instances of concrete object (Q4406616)
object-subclass	All instances of object (Q488383)
entity-subclass	All instances of entity (Q35120) 
entity-subclass-labels	All instances of entity (Q35120) with labels
entity-subclass-labels	All instances of entity (Q35120) with labels, label service for WDQS	WDQS	entity-subclass-labels-WDQS
