venue_articles-by-intention	venue_articles-by-intention LABEL	QUERY	venue
venue_articles-citing-retracted-articles	venue_articles-citing-retracted-articles LABEL	QUERY	venue
venue_author-awards	venue_author-awards LABEL	QUERY	venue
venue_author-gender-distribution	venue_author-gender-distribution LABEL	QUERY	venue
venue_author-images	venue_author-images LABEL	QUERY	venue
venue_authors	venue_authors LABEL	QUERY	venue
venue_authorship-gender-distribution	venue_authorship-gender-distribution LABEL	QUERY	venue
venue_citation-distribution	venue_citation-distribution LABEL	QUERY	venue
venue_cited-venues	venue_cited-venues LABEL	QUERY	venue
venue_citing-venues	venue_citing-venues LABEL	QUERY	venue
venue_co-author-graph	venue_co-author-graph LABEL	QUERY	venue
venue_incoming-bubble	venue_incoming-bubble LABEL	QUERY	venue
venue_incoming	venue_incoming LABEL	QUERY	venue
venue_most-cited-articles	venue_most-cited-articles LABEL	QUERY	venue
venue_most-cited-authors	venue_most-cited-authors LABEL	QUERY	venue
venue_most-reused-articles	venue_most-reused-articles LABEL	QUERY	venue
venue_outgoing-bubble	venue_outgoing-bubble LABEL	QUERY	venue
venue_outgoing	venue_outgoing LABEL	QUERY	venue
venue_recently-published-works	venue_recently-published-works LABEL	QUERY	venue
venue_retractions	venue_retractions LABEL	QUERY	venue
venue_top-topics-through-time	venue_top-topics-through-time LABEL	QUERY	venue
venue_topics	venue_topics LABEL	QUERY	venue
venue_uses	venue_uses LABEL	QUERY	venue
